crop_name,temperature,humidity,ph
maize,22.61359953,63.69070564,5.7499144210000015
maize,26.10018422,71.57476937,6.931756557999999
maize,23.55882094,71.59351368,6.657964753
maize,19.97215954,57.68272924,6.596060648
maize,18.47891261,62.69503871,5.970458434
maize,21.77689322,57.80840636,6.158830619
maize,25.6217169,66.50415474,6.047906679
maize,25.19192419,66.69029010000001,5.913664501
maize,20.41683147,62.55424820000001,5.855442401
maize,24.92162194,66.78627406,5.750254943
maize,23.31689124,73.4541537,5.852607099
maize,24.84016732,68.3584573,6.4725232870000005
maize,22.27526694,58.84015925,6.9670577620000005
maize,18.87751445,65.76816093,6.082973754
maize,25.19008683,60.200168700000006,5.919045532
maize,18.25405352,55.28220433,6.204747652999999
maize,24.612911800000006,70.4162444,6.600827017
maize,25.1420613,65.26185135,6.021902237000001
maize,23.09348056,60.11593810000001,6.033550195
maize,18.05033737,62.89366992,6.28886807
maize,24.9321581,73.80435276,6.550563822999999
maize,18.14710054,71.09445342,5.573286437
maize,18.28362235,66.65952796,6.829199275
maize,18.83344471,58.75082029,5.716222912
maize,25.71895816,67.22190688,5.54990242
maize,25.33797709,68.49835977,6.586244581
maize,23.89114571,57.48775781,5.893093135
maize,21.53574127,71.50905983,5.918263801
maize,23.08974909,63.10459626,5.588650585
maize,25.61707368,63.4711755,6.576418207000001
maize,21.44526922,63.1621551,6.178056304
maize,18.51816776,55.53128131,6.641906353
maize,22.53510514,67.99257471,6.489040367
maize,23.02038334,61.89472002,5.680361037999999
maize,24.89364635,65.61418761,6.625404347999999
maize,25.77175115,74.089114,6.524478032
maize,19.39851734,62.35750641,5.696205468
maize,21.54156232,59.64024162,6.803931519
maize,23.79746068,74.82913698,6.252797547999999
maize,18.9802729,74.52600826,6.092725883
maize,24.10859207,73.13112261,6.234330356
maize,24.7947077,70.04556743,5.722579819
maize,21.63162756,60.27766379,6.430616465
maize,25.37548751,57.21025565,5.983952675
maize,22.21738222,72.85462807,6.80163854
maize,20.58314011,69.00128641,6.499936446
maize,24.87502824,68.74248334,6.265564338
maize,20.03728219,56.35606753,6.727303282
maize,25.95263264,61.89082199,6.325235159
maize,19.28889933,65.47050802,6.807487794
maize,20.57981887,65.34583901,6.671085817000001
maize,24.71417533,56.73426469,6.648725327
maize,20.27317074,63.91281869,6.439071996
maize,18.41932981,64.23580251,6.474476516
maize,23.39128187,61.74427165,5.871647806
maize,19.84939404,61.24500053,5.730617109
maize,21.869274,61.91044947,5.850439831
maize,22.8056033,56.50768935,5.791649933
maize,19.0781471,69.02298571,6.740000687999999
maize,22.02720976,65.35549924,6.272417541
maize,23.80546189,59.24537979,5.715208817000001
maize,18.52510753,69.0276233,5.773454729
maize,23.50297882,61.32026065,5.584171461
maize,26.54986394,72.89187265,5.787268394
maize,19.29563411,69.63481219,5.77597783
maize,20.68899915,59.4375337,6.864793607
maize,19.32666088,68.03449300000001,6.192360002999999
maize,24.60532218,73.58868502,6.636803222999999
maize,22.27373646,59.52193158,5.826426917
maize,25.70196694,61.33450447,6.960358276
maize,19.20129357,68.30578978,6.11275104
maize,21.70181447,60.47470519,6.708446922
maize,20.51716779,59.21235483,5.561510732
maize,23.30355338,73.62548442,5.873242491
maize,24.2547451,55.64709899,6.995843776
maize,24.86374934,65.7420046,5.714799723
maize,22.6265115,65.77472881,6.78073637
maize,18.04185513,60.61494304,5.513697923
maize,23.26237612,72.33125523,5.798423907999999
maize,22.88330922,71.59722446,6.352471866
